sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,18,1,0,1,3,1,0,2,2,0,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,1,1,0,7,9,8
0,15,1,1,1,4,4,0,1,1,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9
0,16,1,0,1,2,2,4,3,2,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9
1,15,1,0,1,1,2,4,3,0,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9
0,16,1,0,1,1,2,4,2,1,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9
0,16,1,1,1,4,3,0,1,0,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9
1,15,0,1,1,2,1,1,2,1,0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9
0,19,1,1,1,0,1,3,4,2,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9
1,16,1,0,1,2,2,2,2,1,1,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,9,9
0,16,1,0,1,3,3,4,4,1,0,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11,9
1,17,1,0,1,4,3,0,4,2,0,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9,9
1,16,0,1,1,4,2,0,2,3,0,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,9
0,17,1,1,0,3,3,1,4,1,0,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7,9
0,17,1,1,1,1,1,3,2,2,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8,8,9
0,17,1,1,1,3,4,3,2,0,0,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28,10,9,9
1,18,1,0,1,2,1,3,4,2,0,4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14,10,8,9
1,17,1,1,1,4,4,0,0,1,0,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,11,9,9
0,17,1,1,1,3,3,4,4,0,0,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4,10,9,9
0,19,1,1,1,3,3,4,2,0,2,1,2,2,0,1,1,1,1,1,1,0,4,3,5,3,3,5,15,9,9,9
0,18,0,1,0,3,2,4,2,0,0,2,2,0,0,0,0,0,0,0,1,1,4,1,1,1,1,5,75,10,9,9
1,18,1,1,1,4,4,0,2,0,0,2,1,0,0,0,1,1,1,1,1,0,3,2,4,1,4,3,22,9,9,9
0,18,1,1,1,4,3,4,4,2,0,1,3,0,0,1,1,1,1,1,1,1,4,3,4,1,1,5,9,9,10,9
0,17,1,1,1,2,2,4,4,2,0,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,12,11,9,9
0,17,1,1,1,4,4,0,2,2,0,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7,10,9,9
1,18,1,1,1,4,3,0,4,2,0,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0,10,10,9
0,18,1,1,1,3,3,2,2,2,1,1,2,0,0,1,0,0,1,1,0,1,5,3,4,1,1,5,0,10,9,9
0,19,1,0,1,3,2,2,2,0,2,2,2,2,0,0,0,1,1,1,0,1,3,2,2,1,1,3,4,7,7,9
1,20,1,0,0,2,2,2,2,2,2,1,2,2,0,1,1,0,1,1,0,0,5,5,4,4,5,4,11,9,9,9
1,19,1,0,1,1,1,4,3,2,1,1,1,0,0,0,0,0,1,1,1,0,3,2,3,3,3,5,5,8,9,9
0,15,1,0,1,1,1,3,4,3,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10
0,16,1,1,1,3,3,4,4,0,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10
0,16,1,1,1,3,3,4,4,1,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10
1,16,1,0,1,4,3,1,4,0,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10
1,15,1,0,0,4,2,1,1,3,1,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10
0,16,1,1,0,2,1,4,4,3,0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10
0,15,1,0,1,4,3,2,2,1,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10
1,15,1,1,1,4,2,4,4,2,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10
1,15,1,1,1,4,3,0,4,0,0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10
1,15,1,1,1,4,0,0,4,2,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10
1,17,1,1,1,2,1,4,4,0,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10
0,15,1,1,1,1,1,4,4,0,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10
1,16,1,1,1,2,2,2,4,1,1,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10
0,16,1,1,1,4,2,0,2,0,0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10
0,15,0,1,1,1,1,3,4,0,0,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10
0,16,1,1,1,2,1,4,4,2,0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10
0,16,0,1,1,3,3,2,4,1,1,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10
1,15,1,0,0,2,1,2,4,2,0,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9,10
0,15,0,1,1,3,3,2,2,1,2,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10,10
0,18,0,1,1,1,1,3,4,2,0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9,8,10
1,17,1,1,1,1,3,3,2,2,1,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,10,10,10
1,16,1,1,1,2,2,4,4,2,1,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,10,10,10
1,17,1,0,1,4,4,0,4,1,0,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10
1,17,0,1,1,1,2,3,4,0,0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,8,9,10
1,16,0,1,1,3,3,2,2,1,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,8,9,10
1,16,0,0,1,3,3,0,4,0,1,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,9,9,10
0,16,1,0,1,4,4,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9,10
0,16,1,1,1,2,3,4,4,1,0,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,8,10,10
0,17,1,1,1,1,1,4,4,2,0,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9,9,10
0,16,1,1,1,1,1,3,4,0,0,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6,9,9,10
0,17,0,0,1,4,4,2,4,3,0,1,1,0,0,1,1,0,1,1,0,0,5,2,1,1,2,3,12,8,10,10
0,17,1,1,1,2,2,3,3,2,0,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,9,10,10
1,16,1,1,1,3,2,3,4,1,0,2,3,0,0,0,0,1,1,1,1,1,5,3,3,1,3,2,10,11,9,10
1,16,1,1,1,3,3,3,4,1,2,3,2,0,1,1,0,0,0,1,1,0,5,3,3,1,3,2,6,7,10,10
1,17,1,1,1,3,1,2,4,3,0,1,2,0,0,0,1,1,1,1,1,1,5,4,4,3,4,5,2,9,9,10
1,18,1,1,1,4,2,1,4,1,1,1,2,0,0,1,1,1,1,1,1,1,5,4,5,1,3,5,10,10,9,10
0,17,1,1,1,2,4,3,1,1,0,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2,10,10,10
1,18,1,0,1,4,3,0,2,2,0,2,1,0,0,0,1,1,1,1,1,0,4,2,3,1,2,1,8,10,11,10
1,17,1,0,0,3,2,0,2,0,0,1,1,1,0,0,0,0,1,1,1,0,4,4,4,3,4,3,19,11,9,10
0,18,1,1,1,1,1,4,4,0,0,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,8,9,10
1,17,1,0,1,4,4,4,0,0,1,2,1,0,0,0,1,0,1,1,1,0,4,1,1,2,2,5,0,11,11,10
0,19,1,0,1,1,1,3,4,1,2,1,2,1,1,1,0,1,0,1,1,0,4,4,3,1,3,3,18,12,10,10
0,17,0,1,1,3,4,3,2,2,1,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0,11,11,10
1,17,0,1,1,2,2,2,4,2,0,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,8,11,10,10
0,17,0,1,0,3,2,4,4,0,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,2,4,9,10,10
0,18,1,1,1,2,3,3,4,2,0,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,4,11,10,10
1,18,1,0,1,1,1,4,2,0,1,2,1,0,0,0,0,0,0,1,1,1,3,3,2,1,2,3,4,10,10,10
0,18,1,1,1,3,3,2,2,3,0,2,2,0,0,1,0,0,1,1,1,1,4,3,2,1,3,3,0,11,11,10
1,18,0,1,1,1,3,3,4,2,0,2,2,0,0,1,1,0,1,1,0,0,3,3,4,2,4,3,4,10,10,10
0,18,1,1,1,2,3,3,2,2,1,2,1,0,0,1,1,0,1,1,1,1,5,2,3,1,2,4,0,11,10,10
0,18,0,1,1,1,1,4,4,0,0,4,3,0,0,0,0,0,1,1,1,0,4,3,2,1,2,4,2,8,8,10
0,18,0,0,1,4,4,0,2,2,0,1,2,0,0,0,1,1,1,1,1,0,5,4,3,3,4,2,4,8,9,10
0,17,0,1,1,3,1,3,4,1,0,1,2,0,0,1,1,1,0,1,1,0,4,5,4,2,3,1,17,10,10,10
1,17,1,1,1,2,3,4,2,0,1,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,2,11,11,10
0,18,0,1,1,2,2,3,4,3,0,2,3,0,0,0,1,0,1,1,0,0,5,3,3,1,3,4,2,10,9,10
1,18,0,0,1,3,2,2,4,2,0,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,0,11,12,10
1,16,1,0,1,2,2,4,4,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11
1,15,1,1,1,4,3,0,4,2,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11
1,15,1,1,1,2,2,4,4,0,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11
1,16,1,0,0,3,4,2,4,0,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11
1,16,1,1,1,4,4,0,0,0,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11
0,15,0,1,1,3,4,2,1,2,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11
0,16,1,0,1,2,2,4,4,0,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11
1,15,1,1,1,2,2,2,2,2,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11
0,16,1,0,0,3,3,4,2,0,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11
0,15,1,1,1,4,4,2,2,2,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11
0,16,0,1,1,4,4,1,0,3,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11
0,16,1,1,1,1,1,2,2,2,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11
0,16,1,1,1,3,3,4,2,0,0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11
0,16,1,1,1,2,2,4,4,1,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11
1,15,1,1,1,2,3,4,4,0,0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11
0,15,1,1,0,3,3,4,1,1,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11
0,15,1,0,0,3,4,4,4,0,0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11
0,16,1,1,0,3,4,2,4,2,1,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11
0,15,1,1,1,4,4,0,2,2,0,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11,11
0,15,1,1,1,1,1,4,2,2,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,11
0,15,1,1,1,1,2,3,4,2,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,11
0,16,1,1,1,2,2,2,4,1,0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13,13,11
1,17,1,1,1,4,3,4,4,2,0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,10,10,11
1,17,1,1,1,3,3,2,2,3,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,12,12,11
1,16,1,1,1,1,2,2,2,3,0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12,11
0,16,0,1,1,2,2,2,2,1,0,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,10,10,11
1,17,0,1,1,2,2,4,4,2,1,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4,11,11,11
0,17,0,1,1,2,1,3,2,2,0,3,2,0,0,0,0,1,1,1,0,0,2,1,1,1,1,3,2,13,11,11
1,19,1,0,0,4,3,2,3,1,0,1,2,0,0,1,0,0,1,1,1,0,4,3,1,1,1,1,12,11,11,11
0,18,0,1,1,4,4,0,4,1,0,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8,12,10,11
0,18,1,0,1,1,1,4,4,0,0,2,2,0,0,1,1,0,0,1,0,0,4,4,3,1,1,3,2,11,11,11
0,17,1,1,1,2,2,4,4,2,0,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4,10,9,11
1,17,1,1,1,1,1,4,4,1,1,1,2,0,0,0,1,0,0,1,1,0,4,3,3,1,2,4,2,12,10,11
1,18,1,1,1,4,2,0,4,0,0,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11,12,11,11
1,17,1,1,1,3,3,1,4,0,0,1,1,0,0,1,1,0,1,1,1,0,4,4,3,1,3,5,4,14,12,11
0,18,1,0,0,4,4,1,4,0,0,1,2,0,0,1,0,0,1,1,1,1,4,2,4,1,1,4,14,12,10,11
1,19,1,1,1,1,2,4,2,2,2,1,2,1,0,0,0,0,0,1,1,0,4,5,2,2,2,4,3,13,11,11
0,19,1,0,1,3,2,2,4,1,2,2,2,1,0,1,1,0,0,1,1,1,4,2,2,1,2,1,22,13,10,11
0,19,0,1,1,2,3,4,4,1,2,1,3,1,0,0,0,0,1,1,1,1,4,1,2,1,1,3,40,13,11,11
0,18,1,1,1,4,4,0,4,2,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,3,3,5,2,11,11,11
0,17,0,0,1,2,2,2,2,2,0,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3,11,11,11
1,18,1,1,1,4,4,4,4,2,0,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,9,12,11
0,19,1,1,1,2,1,2,2,0,2,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,11,12,11
1,17,0,1,1,4,3,2,4,0,0,2,2,0,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,13,11,11
0,17,1,0,0,3,2,2,4,1,0,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,2,12,12,11
0,18,0,1,1,4,4,4,0,3,1,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10,14,12,11
0,17,1,1,1,2,2,4,3,0,0,1,3,0,0,0,0,1,1,1,0,1,3,4,3,1,1,3,8,13,11,11
0,15,1,1,1,2,1,2,4,1,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12
1,16,1,0,1,2,2,4,4,1,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12
1,15,1,1,1,4,4,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12
1,15,1,0,1,3,3,4,4,2,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12
1,15,1,0,1,4,4,0,4,0,2,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12
1,15,1,1,0,4,4,4,2,1,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12
1,15,1,1,1,2,3,4,2,2,1,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12
1,15,1,1,1,3,4,2,2,0,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12
0,17,1,0,1,2,2,4,4,2,1,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,10,13,12
1,16,1,0,1,1,1,2,4,2,0,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,12
0,17,1,1,1,4,4,4,0,2,0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11,12
1,16,1,1,1,3,3,4,2,2,1,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12,12
1,16,1,1,1,3,2,2,2,2,0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,12,11,12
1,16,1,1,1,3,3,2,4,0,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,12,13,12
0,16,1,1,1,3,2,4,4,1,0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13,12
1,17,1,0,1,2,3,2,2,1,1,1,2,0,0,1,1,0,0,1,1,0,5,3,3,1,3,3,2,12,11,12
0,17,1,1,0,2,1,4,4,2,0,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,12,10,12
0,16,1,1,1,2,1,4,4,0,0,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20,13,12,12
1,17,1,0,1,4,3,1,4,2,0,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,12,12,12
1,17,0,0,0,4,4,0,4,2,0,2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2,10,11,12
1,16,1,1,1,4,4,2,2,2,0,1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0,13,12,12
1,17,0,1,1,2,1,4,4,2,0,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,8,12,12
1,18,0,1,1,3,2,4,4,2,0,1,3,0,0,0,0,1,0,1,0,0,5,3,2,1,1,3,1,13,12,12
